name,symbol,seller_fee_basis_points,Monkey Name,Monkey ID,Monkey Parents,Monkey Gender,Monkey Date of Birth,Alpha Score,Color,Tattoo,Hairstyle,Eyes,Mouth,Nose,Ears,Arms,Legs,Outfit,Pattern Style,Accuracy,Max Accuracy,Passing,Max Passing,Defense,Max Defense,Control,Max Control,Precision Shot,Protective Holding,Hard Header,Flank Pass,Extreme Pressing,Pass Interception,Hard Tackle,Defensive Awareness,Last Stand Defense,Golden Gloves,Goalie Resistance,Goalie Long Ball,Monkey evolution history,Type,Created,collection: name/family,creators: address/share
Monkey #11389,ML,450,Gaitsu,11389,,Male,2022-01-24T20:29:31.9540,463,Jungle Green,Tiger Skin,Slicked Back with Bandana,Shocked Glass Eyes,Game Face Grin,Silver Nostril Ring on Pig Nose,Block,Bare Muscle Arm,Flame Tip,Sleeveless Hoodie,Inverted Pulse,11,79,11,87,17,77,14,81,0.05,0.17,0.06,0.01,0.08,0.11,0.23,0.05,0.17,0.18,0.05,0.1,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11181,ML,450,Talan,11181,,Male,2022-01-24T20:29:31.8753,403,Indigo Blue,Tiger Skin,Plain Colored Tip Snapback Cap,Mindful,Smile,Pointed,Spoon,Flame Tip Max Muscle,Leaf Tip,Sleeveless Hoodie,Diamond Stripes,11,89,14,84,18,79,16,81,0.16,0.09,0.08,0.12,0.07,0.1,0.05,0.05,0.04,0.17,0.12,0.05,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11316,ML,450,Kinzel,11316,,Male,2022-01-24T20:29:31.9262,524,Winter Green,Tribal,Flame Top,Shocked Glass Eyes,Toothpick Grin,Pointed,Block,Flame Tip Max Muscle,Leaf Tip,Hoodie,Inverted Pulse,13,81,12,81,21,84,23,78,0.08,0.01,0.08,0.06,0.1,0.06,0.05,0.1,0.03,0.05,0.15,0.12,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11233,ML,450,Oqvan,11233,,Male,2022-01-24T20:29:31.8949,370,Christmas Green,Tiger Skin,Slicked Back Bun,Shocked Glass Eyes,Smirk,Stubby,Pigeon,Bare Muscle Arm,Bare,Silver MonkeyKing Chain,Diamond Stripes,17,83,16,85,14,88,11,76,0.07,0.06,0.17,0.08,0.12,0.14,0.15,0.07,0.11,0.12,0.07,0.11,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11100,ML,450,Ocishi,11100,,Male,2022-01-24T20:29:31.8443,560,Hulky Green,Ancient Script,Crown Top,Amazed,Toothpick Grin,Pointed,Pigeon,Leaf Tip Max Muscle,Leaf Tip,Silver Aztec Chain,Zig Zag,14,83,18,83,13,91,21,80,0.04,0.19,0.07,0.07,0.09,0.05,0.08,0.06,0.11,0.09,0.1,0.09,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11309,ML,450,Ozmon,11309,,Male,2022-01-24T20:29:31.9236,468,Ash Black,None,Crown Top,Wicked Glass Eyes,Poker Face Grin,Stubby,Elf,Feather Tip Muscle,Flame Tip,Hoodie,Horizontal Stripes,17,86,15,80,17,81,18,79,0.13,0.06,0.09,0.16,0.08,0.06,0.11,0.07,0.02,0.07,0.08,0.05,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11362,ML,450,Ozbee,11362,,Male,2022-01-24T20:29:31.9440,385,Cocoa Banana,Tiger Skin,Crown Top,Wicked,Laughing,Waterfall,Pigeon,Feather Tip Muscle,Bare,Hoodie,Pillared Stripes,14,79,13,80,13,88,15,82,0.06,0.07,0.09,0.09,0.09,0.14,0.07,0.02,0.05,0.09,0.01,0.05,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11355,ML,450,Shifoo,11355,,Male,2022-01-24T20:29:31.9414,562,MonkeyBrick Red,Lion King,Designed Ball Cap,Wicked Glass Eyes,Smile,Stubby,Block,Flame Tip Max Muscle,Leaf Tip,Hoodie & Headphones,Diamond Stripes,17,86,13,83,16,80,14,89,0.08,0.12,0.05,0.1,0.05,0.09,0.16,0.05,0.07,0.02,0.23,0.04,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11137,ML,450,Vonkoo,11137,,Male,2022-01-24T20:29:31.8588,410,Frankenstein Green,None,Flat Brim Snapback Cap,Mindful,Smile,Stubby,Pointed,Leaf Tip Max Muscle,Bare,Sleeveless Hoodie,Inverted Pulse,17,87,15,83,15,81,15,79,0.03,0.11,0.19,0.06,0.05,0.1,0.07,0.06,0.07,0.1,0.08,0.07,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11305,ML,450,Oqny,11305,,Male,2022-01-24T20:29:31.9221,602,MonkeySky Blue,Ancient Script,Tidal Wave,Mindful,Toothpick Grin,Waterfall,Single Ear Gold Spikes,Wing Tip Skinny,Leaf Tip,Sleeveless Hoodie & Headphones,Zig Zag,16,77,12,77,17,81,11,98,0.14,0.16,0.05,0.07,0.11,0.1,0.08,0.01,0.13,0.03,0.04,0.15,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
